date,title,source,category
2022-01-12,IMF cuts global growth forecast to 4.4% amid Omicron and supply-chain risks,IMF,Macro
2022-01-24,NATO holds emergency consultations as Russia masses 100000 troops on Ukraine border,Reuters,Geopolitics
2022-02-04,Beijing Winter Olympics open — China and Russia sign broad partnership declaration,AP,Geopolitics
2022-02-22,Russia recognises breakaway regions of Donetsk and Luhansk as independent states,BBC,Geopolitics
2022-02-24,Russia launches full-scale invasion of Ukraine — Kyiv under missile attack,Reuters,Geopolitics
2022-02-24,European markets crash — CAC 40 drops 4% as Russian tanks enter Ukraine,Bloomberg,Markets
2022-02-24,Oil spikes above $100 per barrel for first time since 2014 on Ukraine war,Bloomberg,Commodities
2022-02-25,US announces first wave of sanctions targeting Russian banks and oligarchs,White House,Geopolitics
2022-02-26,G7 agrees to block Russia from SWIFT international payment system,G7,Geopolitics
2022-02-28,Russian ruble collapses 30% after SWIFT ban — Moscow Stock Exchange halted,Bloomberg,Markets
2022-03-01,Biden State of the Union: US will defend NATO but will not send troops to Ukraine,White House,Geopolitics
2022-03-04,IAEA warns of nuclear accident risk after Russia seizes Zaporizhzhia power plant,IAEA,Geopolitics
2022-03-08,US bans Russian oil imports — oil hits $130 per barrel,White House,Commodities
2022-03-16,Fed raises interest rates by 25bp — first hike since 2018 as inflation hits 7.9%,Fed,MonetaryPolicy
2022-04-04,Bucha massacre images shock the world — EU prepares new sanctions on Russia,AFP,Geopolitics
2022-04-06,EU bans coal and timber imports from Russia worth 4 billion euros per year,European Commission,Geopolitics
2022-04-13,US CPI reaches 8.5% — highest inflation reading in 40 years,BLS,Macro
2022-05-04,Fed raises rates by 50bp — largest single hike since 2000,Fed,MonetaryPolicy
2022-05-25,ECB signals it will raise rates for the first time since 2011 starting in July,ECB,MonetaryPolicy
2022-06-01,ECB confirms July rate hike as eurozone inflation hits record 8.1%,ECB,MonetaryPolicy
2022-06-10,US CPI hits 8.6% — shock print triggers major equity selloff,BLS,Macro
2022-06-13,S&P 500 enters bear market — down 21% from January peak,Bloomberg,Markets
2022-06-15,Fed raises rates by 75bp — largest hike since 1994,Fed,MonetaryPolicy
2022-06-27,G7 bans imports of Russian gold — further tightening of energy sanctions,G7,Geopolitics
2022-07-05,EU agrees on partial oil embargo on Russia — Russian gas cuts intensify,EU,Geopolitics
2022-07-27,Fed raises rates by 75bp for second consecutive meeting,Fed,MonetaryPolicy
2022-08-03,Nancy Pelosi visits Taiwan — China launches unprecedented military exercises,AFP,Geopolitics
2022-08-26,Powell Jackson Hole speech: Fed will use all tools to bring inflation down,Fed,MonetaryPolicy
2022-08-26,Markets tumble after Powell's hawkish Jackson Hole speech — S&P falls 3.4%,Bloomberg,Markets
2022-09-21,Fed raises rates by 75bp — third consecutive 75bp hike,Fed,MonetaryPolicy
2022-09-23,UK mini-budget triggers gilt crisis — pound falls to near parity with dollar,HM Treasury,Markets
2022-09-26,Bank of England intervenes to buy gilts as pension funds face collapse,BoE,Markets
2022-10-03,Credit Suisse CDS spike as default fears grip Swiss banking giant,Bloomberg,Banking
2022-10-13,US CPI at 8.2% — hotter than expected — reinforcing Fed hawkish stance,BLS,Macro
2022-10-26,ECB raises rates by 75bp — third consecutive large hike to fight inflation,ECB,MonetaryPolicy
2022-11-02,Fed raises rates by 75bp — fourth consecutive 75bp hike,Fed,MonetaryPolicy
2022-11-08,FTX crypto exchange halts withdrawals — liquidity crisis confirmed,CoinDesk,Crypto
2022-11-11,FTX files for Chapter 11 bankruptcy — Sam Bankman-Fried resigns,Reuters,Crypto
2022-11-11,Contagion fears sweep crypto market after FTX collapse — Bitcoin drops 20%,Bloomberg,Crypto
2022-11-15,G20 Bali summit — Biden and Xi meet as world leaders call for peace in Ukraine,G20,Geopolitics
2022-11-30,OpenAI launches ChatGPT — internet's fastest-growing app reaches 1 million users in 5 days,OpenAI,Technology
2022-12-14,Fed raises rates by 50bp — signals slower pace of hikes ahead,Fed,MonetaryPolicy
2023-01-19,US hits debt ceiling — Treasury begins extraordinary measures to avoid default,Treasury,Macro
2023-02-03,US adds 517000 jobs in January — blowout NFP signals labour market resilience,BLS,Macro
2023-02-24,One year of war in Ukraine — Western leaders pledge continued support for Kyiv,Reuters,Geopolitics
2023-03-08,Silicon Valley Bank discloses $1.8bn loss on bond portfolio — shares plunge 60%,Bloomberg,Banking
2023-03-10,SVB collapse: FDIC shuts down Silicon Valley Bank in largest US bank failure since 2008,FDIC,Banking
2023-03-12,FDIC takes over Signature Bank — second bank failure in 48 hours,FDIC,Banking
2023-03-14,Credit Suisse borrows 50 billion CHF from Swiss National Bank in emergency lifeline,SNB,Banking
2023-03-14,S&P 500 swings wildly as banking sector contagion fears escalate,Bloomberg,Markets
2023-03-19,UBS acquires Credit Suisse for 3.2 billion dollars in government-brokered rescue,Reuters,Banking
2023-03-22,Fed raises rates by 25bp despite banking turmoil — signals near end of hiking cycle,Fed,MonetaryPolicy
2023-04-21,IMF warns global growth slowing to 2.8% — weakest pace since 2008 financial crisis,IMF,Macro
2023-05-01,First Republic Bank seized by FDIC — JPMorgan acquires deposits and assets,FDIC,Banking
2023-05-03,Fed raises rates by 25bp and signals possible pause at next meeting,Fed,MonetaryPolicy
2023-06-02,G7 Hiroshima summit — leaders pledge new military aid package for Ukraine,G7,Geopolitics
2023-06-14,Fed holds rates for first time in 15 months — pauses but projects more hikes,Fed,MonetaryPolicy
2023-06-23,Wagner mercenary group launches armed mutiny in Russia — tanks head toward Moscow,Reuters,Geopolitics
2023-07-26,Fed raises rates by 25bp — may be last hike of the cycle,Fed,MonetaryPolicy
2023-08-01,Fitch downgrades United States sovereign credit rating from AAA to AA+,Fitch,Macro
2023-08-15,China Evergrande files for Chapter 15 bankruptcy protection in US courts,Reuters,Markets
2023-08-24,Wagner chief Yevgeny Prigozhin dies in plane crash — widely attributed to Putin,AFP,Geopolitics
2023-09-20,Fed holds rates — signals higher for longer interest rate environment,Fed,MonetaryPolicy
2023-10-04,US 10-year Treasury yield hits 4.8% — highest level since 2007,Bloomberg,Macro
2023-10-07,Hamas launches surprise attack on Israel — over 1200 killed in deadliest day since 1948,Reuters,Geopolitics
2023-10-08,Israel declares state of war and begins retaliatory strikes on Gaza,AP,Geopolitics
2023-10-17,Gaza hospital explosion kills hundreds — international diplomatic crisis erupts,BBC,Geopolitics
2023-10-27,Israel launches ground invasion of Gaza,Reuters,Geopolitics
2023-11-01,Fed holds rates for second consecutive meeting as inflation shows signs of easing,Fed,MonetaryPolicy
2023-12-13,Fed holds rates and projects three rate cuts for 2024 — pivot signals boost markets,Fed,MonetaryPolicy
2024-01-15,Taiwan presidential election: Lai Ching-te wins — China warns of consequences,AFP,Geopolitics
2024-01-22,Davos WEF 2024 — AI dominates discussions as CEOs cite it as top opportunity,WEF,Technology
2024-02-13,US CPI comes in hotter than expected at 3.1% — rate cut hopes pushed to June,BLS,Macro
2024-02-21,Nvidia quarterly revenue triples — shares surge as AI chip demand explodes,Bloomberg,Technology
2024-03-07,ECB holds rates but signals June cut if inflation continues to fall,ECB,MonetaryPolicy
2024-03-20,Fed holds rates — projects three cuts for 2024 but raises inflation forecasts,Fed,MonetaryPolicy
2024-03-28,S&P 500 closes above 5200 for first time — AI-driven bull market extends,Bloomberg,Markets
2024-04-01,Iran-backed Houthis escalate Red Sea attacks — oil tankers rerouted around Africa,Reuters,Geopolitics
2024-04-14,Iran launches historic direct attack on Israel with 300 drones and missiles,AFP,Geopolitics
2024-04-15,Israel intercepts Iranian attack — oil spikes 3% on escalation fears,Bloomberg,Geopolitics
2024-05-01,Fed holds rates — acknowledges lack of further inflation progress,Fed,MonetaryPolicy
2024-05-15,US CPI falls to 3.4% — markets price in September rate cut,BLS,Macro
2024-06-05,ECB cuts rates by 25bp — first cut since 2019 as eurozone inflation eases,ECB,MonetaryPolicy
2024-06-12,Fed holds rates — projects only one cut in 2024 after stubborn inflation,Fed,MonetaryPolicy
2024-07-04,UK election: Labour wins landslide majority — Rishi Sunak concedes,BBC,Politics
2024-07-11,US CPI falls to 3.0% — September Fed cut now near certainty,BLS,Macro
2024-07-13,Trump assassination attempt at Pennsylvania rally — shockwaves across global markets,Reuters,Politics
2024-07-17,Biden drops out of 2024 presidential race — endorses Kamala Harris,AFP,Politics
2024-07-19,CrowdStrike software update causes global IT outage — banks airports hospitals affected,Bloomberg,Technology
2024-07-30,Bank of Japan unexpectedly raises rates — yen strengthens sharply,BoJ,MonetaryPolicy
2024-08-01,Nikkei crashes 12% in single session — worst day since 1987 Black Monday,Bloomberg,Markets
2024-08-05,Global markets meltdown: VIX spikes above 65 — carry trade unwind triggers panic,Bloomberg,Markets
2024-08-23,Jackson Hole: Powell says time has come to cut rates — September cut confirmed,Fed,MonetaryPolicy
2024-09-11,Harris vs Trump presidential debate — Harris seen as outperforming,AFP,Politics
2024-09-18,Fed cuts rates by 50bp — larger than expected first cut since 2020,Fed,MonetaryPolicy
2024-09-26,China announces massive stimulus package including rate cuts and property support,PBoC,Macro
2024-10-07,World marks one year since Hamas attack — Middle East tensions remain elevated,Reuters,Geopolitics
2024-10-18,ECB cuts rates by 25bp for third time — growth outlook deteriorates,ECB,MonetaryPolicy
2024-11-05,Donald Trump wins US presidential election — Republicans gain Senate majority,AP,Politics
2024-11-06,S&P 500 surges 2.5% and Bitcoin jumps 10% on Trump election victory,Bloomberg,Markets
2024-11-07,Fed cuts rates by 25bp — Powell says election outcome will not affect policy,Fed,MonetaryPolicy
2024-11-25,Trump threatens 25% tariffs on Mexico and Canada — trade war fears resurface,Reuters,Geopolitics
2024-12-11,Fed cuts rates by 25bp for third time — signals more cautious pace in 2025,Fed,MonetaryPolicy
2024-12-18,Fed signals only two cuts in 2025 — hawkish surprise sends markets lower,Fed,MonetaryPolicy
2024-12-19,S&P 500 drops 3% after hawkish Fed outlook — worst day since August,Bloomberg,Markets
2024-12-20,Bitcoin hits 100000 dollars for the first time — crypto markets euphoric,CoinDesk,Crypto
